,smiles,s1_calc,t1_calc,s1_expt,t1_expt,ref
0,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,2.1866,0.9497,2.3,0.86,10.1038/nchem.694
1,O=C1NC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)NC5=O,2.6938,1.424,2.34,1.19,10.1021/acs.jpcc.8b05309
2,c1ccccc1,5.6744,4.3054,4.757,3.659,10.1201/9781420015195
3,Oc1ccccc1,5.3785,4.2062,4.384,3.545,10.1201/9781420015195
4,Nc1ccccc1,5.0457,4.0289,4.125,3.078,10.1201/9781420015195
5,c1ccc2ccccc2c1,4.63,3.0896,3.99,2.622,10.1201/9781420015195
6,c1ccc(-c2ccccc2)cc1,5.1749,3.7513,4.332,2.84,10.1201/9781420015195
7,O=C1c2ccccc2-c2ccccc21,3.1603,2.646,2.757,2.187,10.1201/9781420015195
8,O=C(c1ccccc1)c1ccccc1,3.6636,3.1034,3.275,2.975,10.1201/9781420015195
9,N#Cc1cccc2ccccc12,4.3369,2.8446,3.866,2.487,10.1201/9781420015195
10,c1ccc2cc3cc4ccccc4cc3cc2c1,2.7378,1.4214,2.633,1.275,10.1201/9781420015195
11,c1cc2c3c(cccc3c1)CC2,4.5566,3.0411,3.876,2.591,10.1201/9781420015195
12,CC(=O)c1ccccc1,3.8066,3.3037,3.42,3.213,10.1201/9781420015195
13,CC(=O)c1ccccc1N,3.9487,2.8443,3.151,2.446,10.1201/9781420015195
14,COc1ccc(C(C)=O)cc1,3.8984,3.3996,3.524,3.109,10.1201/9781420015195
15,C(#Cc1ccccc1)c1ccccc1,4.4044,2.9906,4.104,2.715,10.1201/9781420015195
16,c1ccc2c(c1)Cc1ccccc1N2,4.2168,3.4239,3.69,3.016,10.1201/9781420015195
17,c1ccc2nc3ccccc3cc2c1,3.594,2.2174,3.265,1.948,10.1201/9781420015195
18,Nc1c2ccccc2nc2ccccc12,3.4664,2.1153,2.902,2.0,10.1201/9781420015195
19,CN(C)c1ccc2cc3ccc(N(C)C)cc3nc2c1,3.0853,2.1044,2.425,2.135,10.1201/9781420015195
20,Cc1cc2cc3cc(C)c(N)cc3nc2cc1N,3.2974,2.1971,2.601,2.28,10.1201/9781420015195
21,O=c1c2ccccc2[nH]c2ccccc12,3.6513,2.9031,3.151,2.529,10.1201/9781420015195
22,Cn1c2ccccc2c(=O)c2ccccc21,3.6075,2.8756,3.13,2.56,10.1201/9781420015195
23,O=c1c2ccccc2n(-c2ccccc2)c2ccccc12,3.6443,2.8926,3.161,2.529,10.1201/9781420015195
24,O=c1ccc2ccc3occc3c2o1,4.0475,3.0266,3.42,2.736,10.1201/9781420015195
25,CN(C)c1ccccc1,4.8013,3.8869,3.887,3.285,10.1201/9781420015195
26,c1ccc(Nc2ccccc2)cc1,4.4796,3.4968,3.856,3.12,10.1201/9781420015195
27,c1ccc2cc3ccccc3cc2c1,3.5297,2.0978,3.296,1.845,10.1201/9781420015195
28,Nc1cccc2cc3ccccc3cc12,3.1203,1.96,2.684,1.907,10.1201/9781420015195
29,Nc1ccc2cc3ccccc3cc2c1,3.2592,2.0239,2.736,1.907,10.1201/9781420015195
30,Nc1c2ccccc2cc2ccccc12,3.1593,1.8535,2.664,1.907,10.1201/9781420015195
31,Brc1c2ccccc2c(Br)c2ccccc12,3.2871,1.9208,3.057,1.741,10.1201/9781420015195
32,Clc1c2ccccc2c(Cl)c2ccccc12,3.3086,1.9126,3.089,1.752,10.1201/9781420015195
33,c1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1,3.3299,1.9943,3.151,1.772,10.1201/9781420015195
34,Cc1c2ccccc2cc2ccccc12,3.4469,2.0285,3.213,1.793,10.1201/9781420015195
35,c1c2c(cc3c1CCCC3)CCCC2,5.1741,4.0245,4.291,3.337,10.1201/9781420015195
36,O=C1c2ccccc2C(=O)c2ccccc21,2.9686,2.5555,2.943,2.705,10.1201/9781420015195
37,c1ccc2cccc-2cc1,2.5345,2.0483,1.762,1.689,10.1201/9781420015195
38,c1ccc2nc3ccc4ccccc4c3cc2c1,3.5953,2.4669,3.057,2.166,10.1201/9781420015195
39,c1ccc2nc3c(ccc4ccccc43)cc2c1,3.5534,2.4428,3.234,2.208,10.1201/9781420015195
40,O=c1c2ccccc2[nH]c2cc3ccccc3cc12,3.2052,2.3805,2.539,2.0,10.1201/9781420015195
41,O=Cc1ccccc1,3.7516,3.2351,3.348,3.12,10.1201/9781420015195
42,c1ccc2cc3c(ccc4ccccc43)cc2c1,3.5851,2.3475,3.223,2.042,10.1201/9781420015195
43,Clc1ccccc1,5.4496,4.167,4.56,3.545,10.1201/9781420015195
44,Clc1ccc(Cl)cc1,5.21,3.9879,4.394,3.472,10.1201/9781420015195
45,N#Cc1ccc(C#N)cc1,5.0096,3.4469,4.301,3.047,10.1201/9781420015195
46,COc1ccc(OC)cc1,4.9729,3.7579,4.115,3.254,10.1201/9781420015195
47,Fc1ccccc1,5.5903,4.2946,4.654,3.659,10.1201/9781420015195
48,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.6349,3.6407,4.115,3.182,10.1201/9781420015195
49,COc1ccccc1,5.3524,4.159,4.529,3.503,10.1201/9781420015195
50,COc1ccc(C)cc1,5.2263,4.0749,4.312,3.379,10.1201/9781420015195
51,O=[N+]([O-])c1ccccc1,3.8969,3.3914,3.856,2.519,10.1201/9781420015195
52,Cc1ccc(C)c(C)c1C,5.3218,4.0984,4.415,3.431,10.1201/9781420015195
53,Clc1cc(Cl)cc(Cl)c1,5.0879,3.9487,4.426,3.431,10.1201/9781420015195
54,Cc1cc(C)cc(C)c1,5.3666,4.1299,4.498,3.472,10.1201/9781420015195
55,O=C(C(=O)c1ccccc1)c1ccccc1,3.0993,2.6534,2.56,2.311,10.1201/9781420015195
56,c1ccc2[nH]cnc2c1,5.2517,3.858,4.384,3.296,10.1201/9781420015195
57,c1ccc2c(c1)ccc1c3ccccc3[nH]c21,3.9631,2.9625,3.534,2.653,10.1201/9781420015195
58,c1ccc2cc3c(cc2c1)[nH]c1ccccc13,3.602,2.5687,3.068,2.259,10.1201/9781420015195
59,c1cc2ccc3cccc4[nH]c(c1)c2c34,4.0304,2.8289,3.285,2.384,10.1201/9781420015195
60,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,3.5392,2.6933,3.399,2.363,10.1201/9781420015195
61,c1cc2c3c(c1)ccc1ccc4cccc-2c4c13,3.2622,2.7529,2.923,2.342,10.1201/9781420015195
62,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,3.3892,2.4655,3.099,2.187,10.1201/9781420015195
63,c1ccc2c(c1)Cc1c-2ccc2ccccc12,4.0245,2.8105,3.379,2.498,10.1201/9781420015195
64,c1ccc2c(c1)Cc1cc3ccccc3cc1-2,4.1349,2.8391,3.379,2.487,10.1201/9781420015195
65,c1ccc2c(c1)Cc1ccc3ccccc3c1-2,4.0647,2.7228,3.441,2.394,10.1201/9781420015195
66,N#Cc1ccc(N)cc1,4.8856,3.503,4.104,3.089,10.1201/9781420015195
67,CCN(CC)c1ccc(C#N)cc1,4.6044,3.3484,3.783,2.985,10.1201/9781420015195
68,CN(C)c1ccc(C#N)cc1,4.7006,3.3852,3.814,2.985,10.1201/9781420015195
69,COc1ccc(C#N)cc1,5.1158,3.6705,4.374,3.265,10.1201/9781420015195
70,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,3.4561,2.3035,3.047,2.011,10.1201/9781420015195
71,c1ccc2c(c1)ccc1ccc3ccccc3c12,3.7116,2.7937,3.348,2.456,10.1201/9781420015195
72,c1ccc2c(c1)c1ncccc1c1cccnc21,4.0831,3.3131,3.648,2.943,10.1201/9781420015195
73,c1ccc2c(c1)ccc1nc3ccccc3nc12,3.22,2.4279,3.057,2.166,10.1201/9781420015195
74,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,3.7589,3.0228,3.057,2.643,10.1201/9781420015195
75,COc1ccc(C(=O)c2ccc(OC)cc2)cc1,3.7423,3.1326,3.399,3.037,10.1201/9781420015195
76,Cc1ccc(C(=O)c2ccc(C)cc2)cc1,3.6873,3.1186,3.358,2.985,10.1201/9781420015195
